hour,route_id,label_grouped,label_mode,year,month,weekday,is_weekend,is_holiday_se,is_workday_se,time_of_day_code,temperature_2m,precipitation,windspeed_10m,cloudcover,avg_occupancy_score,n_obs,n_snapshots_used,time_key
4,9011012065200000,EMPTY,EMPTY,2021,10,4,0,0,1,0,12.5,0.0,32.6,100,0.0,1,10,2021-10-4-04
5,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,1,12.8,0.0,33.5,100,0.6364,11,10,2021-10-4-05
6,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,1,12.8,0.0,34.9,100,1.0,8,10,2021-10-4-06
7,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,1,12.7,0.0,34.2,100,1.0,8,10,2021-10-4-07
8,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,1,12.7,0.1,34.3,100,1.0,16,10,2021-10-4-08
9,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,1,12.5,1.1,32.8,100,1.0,1,10,2021-10-4-09
10,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,2,12.5,0.4,32.9,100,1.0,8,10,2021-10-4-10
11,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,2,13.1,0.0,33.6,99,1.0,5,10,2021-10-4-11
14,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,2,14.3,0.0,29.9,99,1.0,8,10,2021-10-4-14
15,9011012065200000,CROWDED,STANDING_ROOM_ONLY,2021,10,4,0,0,1,3,14.6,0.0,27.3,99,2.25,4,10,2021-10-4-15
16,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,3,14.6,0.0,28.3,87,1.2,5,10,2021-10-4-16
17,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,3,14.4,0.0,27.3,77,1.0,5,10,2021-10-4-17
18,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,3,14.4,0.0,27.4,91,1.0,8,10,2021-10-4-18
19,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,4,14.4,0.0,27.1,93,0.8889,9,10,2021-10-4-19
20,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,4,14.5,0.0,25.0,99,1.0,4,10,2021-10-4-20
23,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,4,0,0,1,0,14.1,0.0,26.1,89,1.0,6,10,2021-10-4-23
0,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,5,1,0,0,0,13.7,0.0,25.3,95,1.0,9,10,2021-10-5-00
1,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,5,1,0,0,0,13.6,0.0,24.9,97,1.0,4,10,2021-10-5-01
5,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,5,1,0,0,1,13.3,0.0,18.7,100,0.5714,7,10,2021-10-5-05
6,9011012065200000,EMPTY,EMPTY,2021,10,5,1,0,0,1,13.0,0.0,17.1,100,0.0,4,10,2021-10-5-06
7,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,1,13.0,0.0,14.4,100,1.0,6,10,2021-10-0-07
8,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,1,13.2,0.0,14.3,97,1.125,8,10,2021-10-0-08
9,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,1,13.6,0.0,16.3,60,1.0,1,10,2021-10-0-09
10,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,2,14.2,0.0,18.2,84,1.25,8,10,2021-10-0-10
11,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,2,14.3,0.0,19.9,97,1.0,3,10,2021-10-0-11
12,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,2,14.4,0.0,20.8,99,1.2857,7,10,2021-10-0-12
13,9011012065200000,CROWDED,FEW_SEATS_AVAILABLE,2021,10,0,0,0,1,2,14.2,0.0,16.6,100,1.6667,3,10,2021-10-0-13
14,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,2,14.3,0.0,18.3,99,1.125,8,10,2021-10-0-14
15,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,3,13.9,0.0,19.1,100,1.25,12,10,2021-10-0-15
16,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,3,13.7,0.0,17.6,99,1.1111,9,10,2021-10-0-16
17,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,3,13.7,0.0,19.8,67,0.9,10,10,2021-10-0-17
18,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,3,13.3,0.0,17.9,89,0.9167,12,10,2021-10-0-18
19,9011012065200000,EMPTY,EMPTY,2021,10,0,0,0,1,4,13.4,0.0,17.3,33,0.4444,9,10,2021-10-0-19
20,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,4,13.4,0.0,17.2,28,0.9091,11,10,2021-10-0-20
21,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,0,0,0,1,4,13.3,0.0,15.5,56,1.0,3,10,2021-10-0-21
6,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,1,11.6,0.0,13.6,100,1.0,3,10,2021-10-1-06
7,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,1,11.6,0.0,15.5,100,0.875,8,10,2021-10-1-07
8,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,1,12.3,0.0,17.6,100,1.0,3,10,2021-10-1-08
9,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,1,13.0,0.0,17.4,100,0.7143,7,10,2021-10-1-09
10,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,2,13.7,0.0,16.0,100,1.0,4,10,2021-10-1-10
11,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,2,13.7,0.1,15.6,100,1.0,7,10,2021-10-1-11
12,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,2,13.1,0.4,16.6,100,1.0,3,10,2021-10-1-12
13,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,2,11.7,0.7,18.5,100,1.0,8,10,2021-10-1-13
14,9011012065200000,CROWDED,STANDING_ROOM_ONLY,2021,10,1,0,0,1,2,11.6,0.9,21.3,100,2.25,4,10,2021-10-1-14
15,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,3,11.6,2.6,22.6,100,1.25,8,10,2021-10-1-15
16,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,3,12.0,2.8,25.1,100,1.0,4,10,2021-10-1-16
17,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,3,12.5,2.2,25.6,100,1.0,6,10,2021-10-1-17
18,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,3,12.9,2.0,22.3,100,1.0,3,10,2021-10-1-18
19,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,4,13.1,1.3,18.8,100,1.0,8,10,2021-10-1-19
20,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,4,13.6,1.0,17.2,100,1.0,3,10,2021-10-1-20
21,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,4,14.3,0.4,20.5,100,0.8571,7,10,2021-10-1-21
22,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,1,0,0,1,4,13.9,0.0,19.8,92,0.625,8,10,2021-10-1-22
23,9011012065200000,EMPTY,EMPTY,2021,10,1,0,0,1,0,13.6,0.0,21.2,100,0.0,3,10,2021-10-1-23
7,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,1,12.5,0.0,18.0,100,1.2,5,10,2021-10-2-07
8,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,1,13.1,0.0,19.5,100,1.1111,9,10,2021-10-2-08
9,9011012065200000,CROWDED,FEW_SEATS_AVAILABLE,2021,10,2,0,0,1,1,13.5,0.1,18.7,100,1.0,2,10,2021-10-2-09
10,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,2,13.8,0.0,18.1,25,1.125,8,10,2021-10-2-10
11,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,2,14.2,0.0,17.8,18,1.0,3,10,2021-10-2-11
12,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,2,14.3,0.0,18.2,20,1.0,7,10,2021-10-2-12
13,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,2,14.2,0.0,17.1,16,1.0,4,10,2021-10-2-13
14,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,2,14.3,0.0,16.9,33,1.5,8,10,2021-10-2-14
15,9011012065200000,CROWDED,FEW_SEATS_AVAILABLE,2021,10,2,0,0,1,3,14.1,0.0,15.3,26,2.5,4,10,2021-10-2-15
16,9011012065200000,CROWDED,FEW_SEATS_AVAILABLE,2021,10,2,0,0,1,3,13.8,0.0,13.8,96,1.8,5,10,2021-10-2-16
17,9011012065200000,MANY_SEATS_AVAILABLE,MANY_SEATS_AVAILABLE,2021,10,2,0,0,1,3,13.1,0.0,13.3,28,1.5,4,10,2021-10-2-17
